model,serialisation,seed,n_params,best_epoch,epochs_run,train_s,threshold,run_dir,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,val_mcc,val_tp,val_fp,val_tn,val_fn,val_false_positive_rate,val_false_negative_rate,val_pr_auc,val_roc_auc,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1,test_mcc,test_tp,test_fp,test_tn,test_fn,test_false_positive_rate,test_false_negative_rate,test_pr_auc,test_roc_auc,test05_accuracy,test05_balanced_accuracy,test05_precision,test05_recall,test05_f1,test05_mcc,test05_tp,test05_fp,test05_tn,test05_fn,test05_false_positive_rate,test05_false_negative_rate,test05_pr_auc,test05_roc_auc,rec_ddos_wisenet-camera_80,rec_dos_wisenet-camera_554,rec_dos_wisenet-camera_80,disk_mb,rss_mb,lat_p50,lat_p95,lat_p99,lat_threads,fps,order
tinybert-4l,raw,43,14350874,1,5,927.6237782079843,0.05,experiments/stage1_full_13_rawnames/tinybert-4l_s43,0.9982631350412505,0.9957537154989384,1.0,0.9915074309978769,0.9957356076759062,0.9946593809387134,934.0,0.0,3664.0,8.0,0.0,0.008492569002123142,0.9943849369459682,0.9953867723138542,0.9636011199655395,0.9084507042253521,1.0,0.8169014084507042,0.8992248062015504,0.8839695817764007,754.0,0.0,3720.0,169.0,0.0,0.18309859154929578,0.8813028427509441,0.8914677477603421,0.9636011199655395,0.9084507042253521,1.0,0.8169014084507042,0.8992248062015504,0.8839695817764007,754.0,0.0,3720.0,169.0,0.0,0.18309859154929578,0.8813028427509441,0.8914677477603421,0.6848484848484848,0.9966666666666668,0.7815699658703071,,,,,,,,3
tinybert-4l,raw,44,14350874,1,5,923.6944025830016,0.05,experiments/stage1_full_13_rawnames/tinybert-4l_s44,0.9982631350412505,0.9957537154989384,1.0,0.9915074309978769,0.9957356076759062,0.9946593809387134,934.0,0.0,3664.0,8.0,0.0,0.008492569002123142,0.9999462057671668,0.9999860929546909,0.9668317897910833,0.9165763813651138,1.0,0.8331527627302275,0.9089834515366431,0.8944457011909956,769.0,0.0,3720.0,154.0,0.0,0.1668472372697725,0.9899166842032874,0.9964985321357425,0.9668317897910833,0.9165763813651138,1.0,0.8331527627302275,0.9089834515366431,0.8944457011909956,769.0,0.0,3720.0,154.0,0.0,0.1668472372697725,0.9899166842032874,0.9964985321357425,0.7272727272727273,0.9966666666666668,0.7849829351535836,,,,,,,,3
minilm-l6,raw,42,22713986,8,10,3368.856017415994,0.05,experiments/stage1_full_13_rawnames/minilm-l6_s42,0.9995657837603127,0.9989384288747346,1.0,0.9978768577494692,0.9989373007438895,0.9986653404923068,940.0,0.0,3664.0,2.0,0.0,0.0021231422505307855,0.9990622966348329,0.9995677226749738,0.9664010338143442,0.9154929577464789,1.0,0.8309859154929577,0.9076923076923077,0.8930513209934945,767.0,0.0,3720.0,156.0,0.0,0.16901408450704225,0.9349671745574617,0.9732140984867017,0.9664010338143442,0.9154929577464789,1.0,0.8309859154929577,0.9076923076923077,0.8930513209934945,767.0,0.0,3720.0,156.0,0.0,0.16901408450704225,0.9349671745574617,0.9732140984867017,0.7242424242424242,0.9966666666666668,0.7815699658703071,91.813149,74.15398400000004,8.59372949344106,9.472139630815946,9.639271248597652,4.0,114.15979891671542,4
minilm-l6,raw,43,22713986,1,5,1662.5007609589957,0.12,experiments/stage1_full_13_rawnames/minilm-l6_s43,0.9982631350412505,0.9957537154989384,1.0,0.9915074309978769,0.9957356076759062,0.9946593809387134,934.0,0.0,3664.0,8.0,0.0,0.008492569002123142,0.9957553824821727,0.9972939207669272,0.9631703639888003,0.9081818870210511,0.9973544973544973,0.8169014084507042,0.8981536628945801,0.8824454682222101,754.0,2.0,3718.0,169.0,0.0005376344086021505,0.18309859154929578,0.9171502856864948,0.9612776535141369,0.9631703639888003,0.9081818870210511,0.9973544973544973,0.8169014084507042,0.8981536628945801,0.8824454682222101,754.0,2.0,3718.0,169.0,0.0005376344086021505,0.18309859154929578,0.9171502856864948,0.9612776535141369,0.6848484848484848,0.9966666666666668,0.7815699658703071,,,,,,,,4
minilm-l6,raw,44,22713986,1,5,1665.1815246249898,0.05,experiments/stage1_full_13_rawnames/minilm-l6_s44,0.9982631350412505,0.9957537154989384,1.0,0.9915074309978769,0.9957356076759062,0.9946593809387134,934.0,0.0,3664.0,8.0,0.0,0.008492569002123142,0.997539658672306,0.9990331706209032,0.9631703639888003,0.9081818870210511,0.9973544973544973,0.8169014084507042,0.8981536628945801,0.8824454682222101,754.0,2.0,3718.0,169.0,0.0005376344086021505,0.18309859154929578,0.9160897399819116,0.9623802991647155,0.9631703639888003,0.9081818870210511,0.9973544973544973,0.8169014084507042,0.8981536628945801,0.8824454682222101,754.0,2.0,3718.0,169.0,0.0005376344086021505,0.18309859154929578,0.9160897399819116,0.9623802991647155,0.6848484848484848,0.9966666666666668,0.7815699658703071,,,,,,,,4
bert-tiny,readable,42,4386178,5,9,263.390431332984,0.05,experiments/stage1_full_13_readable192/bert-tiny_s42,0.9982631350412505,0.9961480381794751,0.9989316239316239,0.9925690021231423,0.9957401490947817,0.9946573621917656,935.0,1.0,3663.0,7.0,0.0002729257641921397,0.0074309978768577496,0.9994170483451237,0.9998455738510463,0.9627396080120612,0.9062838569880823,1.0,0.8125677139761647,0.8965929468021518,0.8811686738052442,750.0,0.0,3720.0,173.0,0.0,0.18743228602383533,0.9919154687919023,0.9980113934225701,0.9592935601981477,0.8976164680390033,1.0,0.7952329360780065,0.8859384429692215,0.8699330170387239,734.0,0.0,3720.0,189.0,0.0,0.2047670639219935,0.9919154687919023,0.9980113934225701,0.706060606060606,0.9366666666666666,0.8054607508532423,,,,,,,,0
bert-tiny,readable,43,4386178,7,10,285.720279000001,0.05,experiments/stage1_full_13_readable192/bert-tiny_s43,0.9995657837603127,0.9993327515552712,0.9989384288747346,0.9989384288747346,0.9989384288747346,0.9986655031105425,941.0,1.0,3663.0,1.0,0.0002729257641921397,0.0010615711252653928,0.9999887282139149,0.999997102698894,0.9748007753607582,0.9366197183098591,1.0,0.8732394366197183,0.9323308270676691,0.9201152753563319,806.0,0.0,3720.0,117.0,0.0,0.1267605633802817,0.9999469213452132,0.9999868940691294,0.9676933017445617,0.9187432286023836,1.0,0.8374864572047671,0.9115566037735849,0.8972322674810762,773.0,0.0,3720.0,150.0,0.0,0.16251354279523295,0.9999469213452132,0.9999868940691294,0.8,0.9966666666666668,0.8293515358361775,,,,,,,,0
bert-tiny,readable,44,4386178,5,9,249.36855237500276,0.05,experiments/stage1_full_13_readable192/bert-tiny_s44,0.9984802431610942,0.9962845010615711,1.0,0.9925690021231423,0.9962706446457112,0.9953272499301964,935.0,0.0,3664.0,7.0,0.0,0.0074309978768577496,0.9986770924481139,0.9995868448622739,0.96338574197717,0.9087235988303686,0.9973579920739762,0.8179848320693391,0.8988095238095238,0.8831463775593593,755.0,2.0,3718.0,168.0,0.0005376344086021505,0.1820151679306609,0.963050080409081,0.9889758734374818,0.9627396080120612,0.9070984634024162,0.9973474801061007,0.8147345612134345,0.8968395945140131,0.8810430603079688,752.0,2.0,3718.0,171.0,0.0005376344086021505,0.18526543878656554,0.963050080409081,0.9889758734374818,0.6787878787878788,0.9966666666666668,0.7918088737201365,,,,,,,,0
bert-mini,readable,42,11171074,3,7,803.0731571250362,0.24,experiments/stage1_full_13_readable192/bert-mini_s42,0.9995657837603127,0.9989384288747346,1.0,0.9978768577494692,0.9989373007438895,0.9986653404923068,940.0,0.0,3664.0,2.0,0.0,0.0021231422505307855,0.9999366264866831,0.9999829059234742,0.9799698470816283,0.9496208017334777,1.0,0.8992416034669556,0.9469480889903024,0.9366476826593744,830.0,0.0,3720.0,93.0,0.0,0.10075839653304441,0.9995138477537366,0.9998770954927247,0.9799698470816283,0.9496208017334777,1.0,0.8992416034669556,0.9469480889903024,0.9366476826593744,830.0,0.0,3720.0,93.0,0.0,0.10075839653304441,0.9995138477537366,0.9998770954927247,0.8272727272727273,0.9966666666666668,0.8805460750853242,,,,,,,,1
bert-mini,readable,43,11171074,4,8,943.6270642500021,0.05,experiments/stage1_full_13_readable192/bert-mini_s43,0.9995657837603127,0.9989384288747346,1.0,0.9978768577494692,0.9989373007438895,0.9986653404923068,940.0,0.0,3664.0,2.0,0.0,0.0021231422505307855,0.9999932562958851,0.9999982616193364,0.9689855696747792,0.9219934994582881,1.0,0.8439869989165764,0.9153936545240893,0.9014067157947814,779.0,0.0,3720.0,144.0,0.0,0.1560130010834236,1.0,1.0,0.9689855696747792,0.9219934994582881,1.0,0.8439869989165764,0.9153936545240893,0.9014067157947814,779.0,0.0,3720.0,144.0,0.0,0.1560130010834236,1.0,1.0,0.7484848484848485,0.9966666666666668,0.7952218430034129,,,,,,,,1
bert-mini,readable,44,11171074,2,6,681.9258249590057,0.05,experiments/stage1_full_13_readable192/bert-mini_s44,0.9995657837603127,0.9989384288747346,1.0,0.9978768577494692,0.9989373007438895,0.9986653404923068,940.0,0.0,3664.0,2.0,0.0,0.0021231422505307855,0.9996068780725955,0.9998394895187235,0.9681240577213008,0.9198266522210183,1.0,0.8396533044420368,0.9128386336866903,0.8986244648243573,775.0,0.0,3720.0,148.0,0.0,0.16034669555796316,0.9411846115353492,0.9727961649133843,0.9664010338143442,0.9154929577464789,1.0,0.8309859154929577,0.9076923076923077,0.8930513209934945,767.0,0.0,3720.0,156.0,0.0,0.16901408450704225,0.9411846115353492,0.9727961649133843,0.7484848484848485,0.9966666666666668,0.7815699658703071,,,,,,,,1
electra-small,readable,42,13549314,4,8,2521.469026084,0.08,experiments/stage1_full_13_readable192/electra-small_s42,1.0,1.0,1.0,1.0,1.0,1.0,942.0,0.0,3664.0,0.0,0.0,0.0,1.0,1.0,0.9668317897910833,0.9165763813651138,1.0,0.8331527627302275,0.9089834515366431,0.8944457011909956,769.0,0.0,3720.0,154.0,0.0,0.1668472372697725,0.9998417889245187,0.9999633033935624,0.9666164118027137,0.9160346695557964,1.0,0.8320693391115926,0.9083382613837966,0.8937486031021972,768.0,0.0,3720.0,155.0,0.0,0.16793066088840736,0.9998417889245187,0.9999633033935624,0.7272727272727273,1.0,0.7815699658703071,,,,,,,,2
electra-small,readable,43,13549314,4,8,2491.9777829580125,0.05,experiments/stage1_full_13_readable192/electra-small_s43,0.9997828918801563,0.9998635371179039,0.9989395546129375,1.0,0.9994694960212201,0.9993332368492569,942.0,1.0,3663.0,0.0,0.0002729257641921397,0.0,0.9999977473285432,0.9999994205397789,0.9664010338143442,0.9154929577464789,1.0,0.8309859154929577,0.9076923076923077,0.8930513209934945,767.0,0.0,3720.0,156.0,0.0,0.16901408450704225,0.999905926000246,0.9999772830531577,0.9664010338143442,0.9154929577464789,1.0,0.8309859154929577,0.9076923076923077,0.8930513209934945,767.0,0.0,3720.0,156.0,0.0,0.16901408450704225,0.999905926000246,0.9999772830531577,0.7242424242424242,0.9966666666666668,0.7815699658703071,,,,,,,,2
electra-small,readable,44,13549314,5,9,2838.77482362499,0.05,experiments/stage1_full_13_readable192/electra-small_s44,1.0,1.0,1.0,1.0,1.0,1.0,942.0,0.0,3664.0,0.0,0.0,0.0,1.0,1.0,0.9834158948955417,0.9582881906825569,1.0,0.9165763813651138,0.9564725833804409,0.9476228021522426,846.0,0.0,3720.0,77.0,0.0,0.08342361863488625,0.9998207589317812,0.9999568960495812,0.9788929571397803,0.9469122426868906,1.0,0.8938244853737811,0.9439359267734554,0.9332105323800277,825.0,0.0,3720.0,98.0,0.0,0.10617551462621885,0.9998207589317812,0.9999568960495812,0.8333333333333334,1.0,0.924914675767918,,,,,,,,2
tinybert-4l,readable,42,14350874,7,10,1907.188973124983,0.05,experiments/stage1_full_13_readable192/tinybert-4l_s42,0.9991315675206253,0.9994541484716157,0.9957716701902748,1.0,0.9978813559322034,0.9973387504825452,942.0,4.0,3660.0,0.0,0.001091703056768559,0.0,0.9999774826783296,0.9999942053977879,0.9840620288606504,0.9599133261105093,1.0,0.9198266522210184,0.9582392776523702,0.9496767402548472,849.0,0.0,3720.0,74.0,0.0,0.08017334777898158,0.9999576387989914,0.9999895152553036,0.9834158948955417,0.9582881906825569,1.0,0.9165763813651138,0.9564725833804409,0.9476228021522426,846.0,0.0,3720.0,77.0,0.0,0.08342361863488625,0.9999576387989914,0.9999895152553036,0.8606060606060606,1.0,0.9044368600682594,58.357043,43.417599999999936,5.700416993931867,5.886481251218356,5.9850599960191175,1.0,175.09697655480446,3
tinybert-4l,readable,43,14350874,9,10,1914.5286129160086,0.08,experiments/stage1_full_13_readable192/tinybert-4l_s43,0.9993486756404689,0.9995906113537119,0.9968253968253968,1.0,0.9984101748807631,0.9980026146387657,942.0,3.0,3661.0,0.0,0.0008187772925764192,0.0,0.9999898623198937,0.9999973924290045,0.9676933017445617,0.9187432286023836,1.0,0.8374864572047671,0.9115566037735849,0.8972322674810762,773.0,0.0,3720.0,150.0,0.0,0.16251354279523295,0.9961407066786957,0.9989334684700427,0.9676933017445617,0.9187432286023836,1.0,0.8374864572047671,0.9115566037735849,0.8972322674810762,773.0,0.0,3720.0,150.0,0.0,0.16251354279523295,0.9961407066786957,0.9989334684700427,0.7424242424242424,0.9966666666666668,0.7815699658703071,,,,,,,,3
tinybert-4l,readable,44,14350874,7,10,2115.2310155830055,0.6399999999999999,experiments/stage1_full_13_readable192/tinybert-4l_s44,0.9995657837603127,0.9993327515552712,0.9989384288747346,0.9989384288747346,0.9989384288747346,0.9986655031105425,941.0,1.0,3663.0,1.0,0.0002729257641921397,0.0010615711252653928,0.9999955029996817,0.9999988410795575,0.9683394357096705,0.9203683640303358,1.0,0.8407367280606717,0.9134785167745733,0.8993202944908955,776.0,0.0,3720.0,147.0,0.0,0.15926327193932827,0.9941883147008894,0.9979033423036149,0.9683394357096705,0.9203683640303358,1.0,0.8407367280606717,0.9134785167745733,0.8993202944908955,776.0,0.0,3720.0,147.0,0.0,0.15926327193932827,0.9941883147008894,0.9979033423036149,0.7484848484848485,1.0,0.7815699658703071,,,,,,,,3
minilm-l6,readable,42,22713986,7,10,3424.927412665973,0.05,experiments/stage1_full_13_readable192/minilm-l6_s42,0.9995657837603127,0.9989384288747346,1.0,0.9978768577494692,0.9989373007438895,0.9986653404923068,940.0,0.0,3664.0,2.0,0.0,0.0021231422505307855,0.9998879290337555,0.9999695783383862,0.9664010338143442,0.9154929577464789,1.0,0.8309859154929577,0.9076923076923077,0.8930513209934945,767.0,0.0,3720.0,156.0,0.0,0.16901408450704225,0.9954710837698877,0.9988324071808852,0.9664010338143442,0.9154929577464789,1.0,0.8309859154929577,0.9076923076923077,0.8930513209934945,767.0,0.0,3720.0,156.0,0.0,0.16901408450704225,0.9954710837698877,0.9988324071808852,0.7242424242424242,0.9966666666666668,0.7815699658703071,,,,,,,,4
minilm-l6,readable,43,22713986,5,9,3048.8014705000096,0.05,experiments/stage1_full_13_readable192/minilm-l6_s43,0.9995657837603127,0.9989384288747346,1.0,0.9978768577494692,0.9989373007438895,0.9986653404923068,940.0,0.0,3664.0,2.0,0.0,0.0021231422505307855,0.9997703703047924,0.9999266982820163,0.980615981046737,0.9512459371614301,1.0,0.9024918743228603,0.94874715261959,0.9387082446799934,833.0,0.0,3720.0,90.0,0.0,0.09750812567713976,0.9665729913166069,0.98580598562425,0.9730777514538014,0.9322860238353197,1.0,0.8645720476706392,0.9273678094131319,0.9145846182908646,798.0,0.0,3720.0,125.0,0.0,0.13542795232936078,0.9665729913166069,0.98580598562425,0.8515151515151516,0.9966666666666668,0.863481228668942,,,,,,,,4
minilm-l6,readable,44,22713986,4,8,2733.806209625036,0.05,experiments/stage1_full_13_readable192/minilm-l6_s44,0.9995657837603127,0.9989384288747346,1.0,0.9978768577494692,0.9989373007438895,0.9986653404923068,940.0,0.0,3664.0,2.0,0.0,0.0021231422505307855,0.9989445676233617,0.9994596533437172,0.9664010338143442,0.9154929577464789,1.0,0.8309859154929577,0.9076923076923077,0.8930513209934945,767.0,0.0,3720.0,156.0,0.0,0.16901408450704225,0.9941034547493982,0.9983707871713323,0.9664010338143442,0.9154929577464789,1.0,0.8309859154929577,0.9076923076923077,0.8930513209934945,767.0,0.0,3720.0,156.0,0.0,0.16901408450704225,0.9941034547493982,0.9983707871713323,0.7242424242424242,0.9966666666666668,0.7815699658703071,,,,,,,,4
